room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
7210886,2212835,Entire home/apt,,24,1,,4,2.0,75.0,2.0,56.142057,10.201477,2016-10-29 01:12:03.768572
13111381,24929596,Entire home/apt,,24,2,,3,1.0,68.0,2.0,56.172003,10.212966,2016-10-29 01:11:55.526631
694614,3555362,Private room,,24,5,5.0,2,1.0,42.0,1.0,56.145305,10.191022,2016-10-29 01:11:52.160711
6633889,34723737,Entire home/apt,,24,15,4.5,3,1.0,53.0,1.0,56.147094,10.190955,2016-10-29 01:11:47.123930
15558616,67246602,Entire home/apt,,24,0,,4,2.0,98.0,3.0,56.158515,10.201609,2016-10-29 01:11:40.700894
15627887,48412255,Private room,,24,0,,2,1.0,30.0,1.0,56.159979,10.196046,2016-10-29 01:11:32.136522
1158160,6346463,Entire home/apt,,5,16,4.0,7,4.0,136.0,1.0,56.207012,10.245287,2016-10-29 01:11:23.756223
13647340,79226104,Entire home/apt,,24,2,,3,2.0,45.0,1.0,56.171843,10.217795,2016-10-29 01:11:11.752493
14740187,91825942,Entire home/apt,,24,2,,2,0.0,45.0,1.0,56.155774,10.196154,2016-10-29 01:11:04.717021
4936455,25435011,Entire home/apt,,24,10,5.0,3,1.0,83.0,2.0,56.157908,10.197787,2016-10-29 01:11:00.910589
424465,2110091,Entire home/apt,,1,1,,4,2.0,113.0,1.0,56.096137,10.215759,2016-10-29 01:10:57.727273
11286889,48260066,Entire home/apt,,24,12,4.5,2,1.0,42.0,2.0,56.162822,10.206082,2016-10-29 01:10:53.556353
3273254,15946722,Entire home/apt,,2,1,,4,2.0,91.0,1.0,56.126517,10.190528,2016-10-29 01:10:48.375249
1000875,5503494,Entire home/apt,,4,12,4.5,6,3.0,87.0,4.0,56.182428,10.207488,2016-10-29 01:10:37.127122
6843058,8637497,Private room,,24,28,4.5,1,1.0,45.0,1.0,56.180255,10.218785,2016-10-29 01:10:27.043512
6711896,31994444,Private room,,24,4,5.0,2,1.0,45.0,2.0,56.159094,10.2109,2016-10-29 01:10:09.248767
8381908,44171043,Entire home/apt,,24,10,4.5,3,2.0,61.0,2.0,56.164526,10.198934,2016-10-29 01:10:02.788083
13255908,70919095,Entire home/apt,,2,1,,6,4.0,113.0,3.0,56.132049,10.186551,2016-10-29 01:10:00.354877
15370111,7856370,Private room,,24,0,,2,1.0,43.0,2.0,56.163717,10.227348,2016-10-29 01:09:56.651418
9732772,35849437,Entire home/apt,,4,0,,2,1.0,42.0,7.0,56.175681,10.212077,2016-10-29 01:09:50.562722
13437323,76673273,Entire home/apt,,24,0,,4,1.0,30.0,,56.15858,10.183692,2016-10-29 01:09:07.498695
